titulo,resumen,autor,fecha,url,sentiment_score,sentiment
Everfit solicitó la admisión al proceso de liquidación judicial ante la Supersociedades,"En la solicitud presentada, la compañía reportó un activo total por $37.777 millones y pasivos por $31.416 millones con corte al 31 de mayo",,2025-07-03,https://www.larepublica.co/empresas/everfit-solicito-la-admision-al-proceso-de-liquidacion-judicial-ante-la-supersociedades-4171242,0.0,neutral
"Francia multa a Shein con US$47,17 millones por unas prácticas comerciales engañosas","La agencia dijo que Infinite Style E-Commerce, que gestiona las ventas de la marca Shein, había engañado a los clientes sobre los descuentos",,2025-07-03,https://www.larepublica.co/globoeconomia/francia-multa-a-shein-con-us-47-17-millones-por-unas-practicas-comerciales-enganosas-4171249,0.0,neutral
Diogo Jota,"Diogo Jota, futbolista portugués del Liverpool y su hermano, fallecieron este jueves en un accidente de tránsito en España",,2025-07-03,https://www.larepublica.co/obituarios/fallecio-diogo-jota-futbolista-portugues-del-liverpool-4171245,0.0,neutral
Cámara se acerca a la aprobación del proyecto de ley de Trump tras noche de debate,"""Tenemos los votos"", declaró el presidente de la Cámara de Representantes, Mike Johnson, a la prensa poco después de las 3 de la madrugada del jueves",,2025-07-03,https://www.larepublica.co/globoeconomia/camara-se-acerca-a-la-aprobacion-del-proyecto-de-ley-de-trump-tras-noche-de-debate-4171238,0.0,neutral
“La planta de tratamiento Canoas se adjudicará en el primer semestre de 2026”,"Natasha Avendaño, gerente de Acueducto y Alcantarillado de Bogotá, habló del futuro del proyecto y el balance postracionamiento",,2025-07-03,https://www.larepublica.co/economia/entrevista-con-natasha-avendano-gerente-de-la-eaab-sobre-el-avance-del-proyecto-de-tratamiento-de-aguas-residuales-4171066,0.0,neutral
La universidad debe ser el laboratorio de paz que el país necesita,"La universidad no puede ser el reflejo del país, todo lo contrario, en momentos de crisis debe iluminar el camino de la sociedad",,2025-07-03,https://www.larepublica.co/analisis/jose-ismael-pena-reyes-3960471/la-universidad-debe-ser-el-laboratorio-de-paz-que-el-pais-necesita-4170822,-0.743,negative
Doña Nydia y la solidaridad,"Doña Nydia vivió en carne propia los rigores de la violencia en Colombia; su hija fue vilmente asesinada y hoy su nieto Miguel libra una lucha por la vida, que los colombianos sentimos como propia",,2025-07-03,https://www.larepublica.co/analisis/alfredo-sarmiento-narvaez-3420523/dona-nydia-y-la-solidaridad-4170839,0.0,neutral
Cambios en las Juntas Directivas en las 1.000 empresas más grandes de 2024,Llegadas a nuevos cargos y coyunturas políticas marcaron rumbo de alta gerencia de las 10 empresas que más facturaron en 2024,,2025-07-03,https://www.larepublica.co/especiales/las-mil-empresas-mas-grandes-de-2024/los-cambios-dentro-de-las-juntas-directivas-de-las-1-000-empresas-mas-grandes-de-2024-4170610,0.0,neutral
"Esenttia MB y Ecodiesel Colombia, las empresas que lideran el grupo de 401 a 500","Las organizaciones de este club registraron utilidades netas totales superiores a $4,7 billones, lo que representó una reducción de 36,2% frente a 2023",,2025-07-03,https://www.larepublica.co/especiales/las-mil-empresas-mas-grandes-de-2024/ranking-de-las-empresas-mas-grandes-de-colombia-2024-puestos-401-a-500-4170273,0.0,neutral
“El sector asegurador no se puede quedar atrás en la transición digital del mercado local”,"Angélica Ardila, directora ejecutiva de la asociación Insurtech Colombia, dijo que la adopción de seguros puede incidir en una mayor inclusión financiera",,2025-07-03,https://www.larepublica.co/finanzas/entrevista-con-angelica-ardila-directora-ejecutiva-de-insurtech-4171055,0.0,neutral
Las grandes empresas que ganaron terreno en el sector farmacéutico el año pasado,"La industria farmacéutica y química en Colombia es una pieza clave en la economía nacional. De hecho, este sector aportó 2,8% al PIB en 2024",,2025-07-03,https://www.larepublica.co/especiales/las-mil-empresas-mas-grandes-de-2024/las-empresas-mas-grandes-del-sector-farmaceutico-en-colombia-en-2024-4169687,0.0,neutral
Essa se mantuvo en 2024 como la empresa líder de la región oriental,"Marval ha venido mostrando una caída estrepitosa en los ingresos de los últimos años, la constructora aterrizó en el quinto puesto de Las Mil Más Grandes",,2025-07-03,https://www.larepublica.co/especiales/las-mil-empresas-mas-grandes-de-2024/las-empresas-mas-grandes-de-la-region-oriente-en-2024-4170682,0.34,positive
"Las empresas más grandes del Pacífico en 2024 sumaron $107,8 billones en ingresos","En la región Pacífico las cinco primeras empresas más vendedoras acumularon 1,9% del PIB Nacional, entre ellas lideran Celsia Colombia, Carvajal y Emcali",,2025-07-03,https://www.larepublica.co/especiales/las-mil-empresas-mas-grandes-de-2024/las-empresas-mas-grandes-del-pacifico-en-2024-sumaron-107-8-billones-en-ingresos-4170276,0.0,neutral
Fe,"Lo que en la vida realmente nos hace invencibles es la fe; solo la fe es capaz de lograr lo que muchos no son capaces de imaginar. El fútbol como la vida, sin fe, no son posibles, no son concebibles",,2025-07-03,https://www.larepublica.co/analisis/yamid-amat-serna-3948786/fe-4170834,-0.8481,negative
Las empresas más grandes del país invierten en herramientas de IA,Dentro de las optimizaciones que brindan las nuevas tecnologías están la implementación de modelos predictivos y la optimización de tiempo,,2025-07-03,https://www.larepublica.co/especiales/las-mil-empresas-mas-grandes-de-2024/las-empresas-mas-grandes-del-pais-invierten-en-herramientas-de-inteligencia-artificial-4170119,0.0,neutral
Las remesas crecen al mismo ritmo del petróleo y de la inversión extranjera directa,"El reporte más reciente del Banco de la República muestra que hasta mayo ingresaron US$5.323 millones, CASI 15% más  de lo registrado en el mismo periodo de 2024",,2025-07-03,https://www.larepublica.co/economia/las-remesas-crecen-al-mismo-ritmo-del-petroleo-y-la-inversion-extranjera-directa-4171087,0.0,neutral
